               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.055671,            0.083602,            0.033819,             0.57705,             0.42563,              0.4409,             0.22532,             0.05281,            0.053555,            0.022345,           0.0065734,           0.0065734,           0.0065734
                 129,            0.055651,            0.083441,            0.033874,             0.58112,              0.4242,             0.44153,             0.22572,            0.052776,            0.053546,            0.022328,           0.0065276,           0.0065276,           0.0065276
                 130,            0.055606,            0.083733,            0.033751,             0.57604,             0.42686,             0.44179,             0.22619,            0.052756,            0.053536,            0.022308,           0.0064816,           0.0064816,           0.0064816
                 131,            0.055556,            0.083505,            0.033675,             0.59059,              0.4196,             0.44196,             0.22648,             0.05275,            0.053522,            0.022282,           0.0064356,           0.0064356,           0.0064356
                 132,            0.055542,            0.083458,            0.033813,             0.59481,             0.41836,             0.44221,             0.22674,            0.052746,            0.053509,            0.022265,           0.0063895,           0.0063895,           0.0063895
                 133,            0.055469,            0.083278,            0.033551,             0.58014,             0.42552,             0.44264,             0.22726,            0.052722,              0.0535,             0.02225,           0.0063432,           0.0063432,           0.0063432
                 134,            0.055473,            0.083377,             0.03355,             0.58352,              0.4247,             0.44309,             0.22733,             0.05273,            0.053493,            0.022231,           0.0062969,           0.0062969,           0.0062969
                 135,            0.055441,            0.083354,            0.033617,             0.56636,             0.43376,             0.44359,             0.22749,            0.052726,            0.053489,            0.022213,           0.0062505,           0.0062505,           0.0062505
                 136,            0.055541,            0.083123,            0.033426,             0.56974,             0.43234,             0.44405,             0.22776,            0.052709,            0.053484,            0.022189,            0.006204,            0.006204,            0.006204
                 137,            0.055345,            0.083362,            0.033425,             0.59017,             0.42262,             0.44468,             0.22858,            0.052654,            0.053485,             0.02217,           0.0061574,           0.0061574,           0.0061574
                 138,            0.055417,            0.083541,             0.03345,             0.58645,             0.42479,             0.44503,             0.22884,             0.05263,            0.053482,            0.022151,           0.0061107,           0.0061107,           0.0061107
                 139,            0.055289,             0.08323,            0.033326,             0.58369,             0.42646,             0.44518,             0.22922,            0.052606,            0.053472,            0.022135,            0.006064,            0.006064,            0.006064
                 140,            0.055369,            0.083283,            0.033263,              0.5896,             0.42408,             0.44557,             0.22943,            0.052601,            0.053447,            0.022121,           0.0060172,           0.0060172,           0.0060172
                 141,            0.055282,            0.083303,            0.033256,             0.58842,             0.42516,             0.44588,             0.22951,            0.052588,            0.053433,            0.022097,           0.0059704,           0.0059704,           0.0059704
                 142,            0.055306,            0.083143,            0.033285,             0.58849,             0.42558,             0.44647,             0.22983,            0.052596,            0.053423,            0.022074,           0.0059235,           0.0059235,           0.0059235
                 143,            0.055305,            0.083235,            0.033246,             0.58876,             0.42536,             0.44661,             0.22986,            0.052608,            0.053409,            0.022062,           0.0058766,           0.0058766,           0.0058766
                 144,            0.055281,            0.083268,            0.033161,             0.57832,             0.43143,             0.44682,             0.23029,             0.05258,            0.053407,            0.022045,           0.0058296,           0.0058296,           0.0058296
                 145,             0.05517,            0.082907,            0.033072,             0.58626,             0.42799,             0.44724,             0.23051,            0.052561,            0.053396,            0.022025,           0.0057826,           0.0057826,           0.0057826
                 146,            0.055211,            0.083028,            0.033106,             0.58138,              0.4309,             0.44759,              0.2307,            0.052555,             0.05339,            0.022004,           0.0057355,           0.0057355,           0.0057355
                 147,            0.055175,             0.08304,            0.033087,             0.57893,             0.43277,             0.44803,             0.23129,            0.052504,            0.053379,            0.021978,           0.0056884,           0.0056884,           0.0056884
                 148,            0.055111,            0.083201,            0.032852,             0.58173,             0.43176,             0.44825,             0.23169,            0.052463,            0.053383,            0.021965,           0.0056413,           0.0056413,           0.0056413
                 149,            0.055094,            0.082925,            0.032971,             0.59477,             0.42564,             0.44868,             0.23186,            0.052455,            0.053379,            0.021952,           0.0055942,           0.0055942,           0.0055942
                 150,            0.055054,            0.082977,            0.032887,              0.5983,             0.42426,              0.4488,             0.23178,            0.052468,            0.053367,            0.021935,           0.0055471,           0.0055471,           0.0055471
                 151,            0.055057,            0.082859,            0.032806,             0.60073,             0.42373,             0.44915,             0.23173,            0.052484,            0.053353,            0.021913,              0.0055,              0.0055,              0.0055
                 152,            0.055014,            0.083087,            0.032741,             0.59209,             0.42837,             0.44946,             0.23209,            0.052457,            0.053348,            0.021894,           0.0054529,           0.0054529,           0.0054529
                 153,            0.054974,            0.082832,            0.032773,             0.58678,             0.43148,             0.44983,             0.23231,            0.052456,            0.053344,            0.021874,           0.0054058,           0.0054058,           0.0054058
                 154,            0.054944,            0.082775,            0.032779,             0.58999,             0.43125,             0.45032,             0.23254,            0.052446,            0.053334,            0.021853,           0.0053587,           0.0053587,           0.0053587
                 155,            0.054953,            0.083016,            0.032647,             0.58892,             0.43217,             0.45079,             0.23296,            0.052424,            0.053315,            0.021821,           0.0053116,           0.0053116,           0.0053116
                 156,            0.054897,            0.082877,            0.032632,              0.6027,             0.42626,             0.45122,             0.23327,            0.052435,            0.053301,            0.021786,           0.0052645,           0.0052645,           0.0052645
                 157,            0.054819,            0.082567,            0.032564,             0.58798,             0.43372,             0.45165,             0.23338,            0.052434,            0.053284,            0.021756,           0.0052174,           0.0052174,           0.0052174
                 158,             0.05485,            0.083056,            0.032498,             0.58381,             0.43641,             0.45227,             0.23375,            0.052404,            0.053266,            0.021729,           0.0051704,           0.0051704,           0.0051704
