               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.056114,            0.083295,            0.034797,             0.56318,             0.41791,             0.42915,             0.21872,            0.053286,            0.054478,            0.023012,           0.0077091,           0.0077091,           0.0077091
                 103,            0.056134,            0.083629,            0.034834,             0.56645,             0.41636,             0.42958,             0.21918,             0.05326,            0.054473,            0.022992,           0.0076679,           0.0076679,           0.0076679
                 104,            0.056151,            0.083414,            0.034889,             0.56687,             0.41662,             0.42986,             0.21958,            0.053222,            0.054469,            0.022971,           0.0076265,           0.0076265,           0.0076265
                 105,            0.056091,            0.083613,            0.034645,             0.58125,             0.41014,             0.43029,             0.21993,            0.053193,             0.05446,            0.022946,           0.0075848,           0.0075848,           0.0075848
                 106,            0.056063,            0.083616,            0.034723,              0.5773,             0.41234,             0.43058,              0.2198,            0.053237,            0.054443,            0.022918,            0.007543,            0.007543,            0.007543
                 107,            0.055999,            0.083568,            0.034661,             0.57223,             0.41538,             0.43094,             0.21983,            0.053245,            0.054441,            0.022896,           0.0075009,           0.0075009,           0.0075009
                 108,            0.056011,            0.083613,            0.034603,             0.56677,             0.41857,             0.43114,             0.21995,            0.053245,             0.05443,            0.022876,           0.0074585,           0.0074585,           0.0074585
                 109,            0.056023,            0.083475,            0.034608,             0.57499,             0.41487,             0.43175,             0.22029,            0.053239,            0.054419,             0.02285,            0.007416,            0.007416,            0.007416
                 110,            0.055966,            0.083377,            0.034504,             0.57041,             0.41719,              0.4318,             0.22049,            0.053213,            0.054417,            0.022837,           0.0073733,           0.0073733,           0.0073733
                 111,            0.055914,            0.083072,            0.034438,             0.57418,             0.41587,             0.43214,             0.22089,            0.053184,            0.054412,            0.022813,           0.0073303,           0.0073303,           0.0073303
                 112,            0.055918,            0.083155,            0.034559,             0.56952,             0.41839,              0.4323,             0.22121,            0.053158,            0.054415,            0.022799,           0.0072872,           0.0072872,           0.0072872
                 113,            0.055857,            0.083247,            0.034408,              0.5634,             0.42162,             0.43264,             0.22153,            0.053126,            0.054414,            0.022779,           0.0072438,           0.0072438,           0.0072438
                 114,            0.055886,            0.083302,            0.034378,             0.56457,             0.42177,              0.4331,             0.22192,            0.053092,            0.054407,            0.022758,           0.0072003,           0.0072003,           0.0072003
                 115,             0.05583,            0.083278,            0.034333,             0.57132,             0.41893,             0.43364,             0.22213,             0.05309,            0.054397,             0.02274,           0.0071566,           0.0071566,           0.0071566
                 116,            0.055878,            0.083523,            0.034302,             0.57388,             0.41779,              0.4339,             0.22185,            0.053123,            0.054383,            0.022719,           0.0071127,           0.0071127,           0.0071127
                 117,            0.055877,            0.083648,            0.034402,             0.58407,             0.41383,             0.43425,             0.22209,            0.053124,             0.05437,            0.022702,           0.0070686,           0.0070686,           0.0070686
                 118,            0.055709,             0.08322,            0.034377,             0.57595,             0.41808,             0.43432,             0.22202,            0.053139,            0.054359,            0.022686,           0.0070243,           0.0070243,           0.0070243
                 119,            0.055763,            0.083637,            0.034201,             0.57219,             0.42002,             0.43454,             0.22206,            0.053141,            0.054344,            0.022661,           0.0069799,           0.0069799,           0.0069799
                 120,            0.055729,            0.083051,            0.034113,             0.57418,             0.41968,              0.4349,             0.22232,            0.053124,            0.054327,            0.022639,           0.0069353,           0.0069353,           0.0069353
                 121,            0.055715,            0.083141,            0.034228,             0.57142,             0.42183,             0.43521,             0.22265,            0.053082,             0.05433,            0.022621,           0.0068906,           0.0068906,           0.0068906
                 122,            0.055682,            0.083213,            0.033979,             0.57518,             0.42068,             0.43575,               0.223,            0.053072,            0.054324,            0.022612,           0.0068457,           0.0068457,           0.0068457
                 123,            0.055692,            0.083308,            0.033997,             0.57491,             0.42097,             0.43591,             0.22319,            0.053082,            0.054315,            0.022596,           0.0068006,           0.0068006,           0.0068006
                 124,            0.055664,             0.08347,            0.034043,             0.56987,               0.423,             0.43625,             0.22371,            0.053049,            0.054308,            0.022578,           0.0067555,           0.0067555,           0.0067555
                 125,             0.05557,            0.082914,            0.034083,             0.57248,             0.42249,             0.43691,             0.22435,            0.053001,            0.054306,            0.022561,           0.0067101,           0.0067101,           0.0067101
                 126,            0.055608,            0.083242,            0.033996,             0.57501,             0.42145,             0.43724,             0.22441,            0.053005,            0.054292,            0.022543,           0.0066647,           0.0066647,           0.0066647
                 127,            0.055543,            0.083357,            0.033859,             0.57275,             0.42291,             0.43746,             0.22436,             0.05302,            0.054289,            0.022517,           0.0066191,           0.0066191,           0.0066191
                 128,             0.05552,            0.083018,            0.033741,             0.57613,             0.42177,             0.43785,             0.22431,            0.053022,            0.054283,            0.022498,           0.0065734,           0.0065734,           0.0065734
